university_id,year,source,global_rank,overall_score,academic_reputation,employer_reputation
U00184,2025,QS_2025,184.0,48.2,42.9,30.1
U00184,2024,THE_2024,147.0,62.4,,
U00184,2023,WUR_2023,139.0,58.4,,
U00185,2025,QS_2025,185.0,48.1,53.8,91.4
U00186,2025,QS_2025,186.0,47.6,46.8,43.2
U00186,2024,THE_2024,190.0,59.3,,
U00187,2025,QS_2025,187.0,47.5,29.8,16.3
U00187,2024,THE_2024,275.5,,,
U00187,2023,WUR_2023,325.5,,,
U00188,2025,QS_2025,188.0,47.4,53.0,91.6
U00188,2024,THE_2024,700.5,,,
U00188,2023,WUR_2023,900.5,,,
U00189,2025,QS_2025,189.0,47.3,26.2,23.3
U00189,2024,THE_2024,177.0,60.2,,
U00190,2025,QS_2025,190.0,47.2,33.9,50.4
U00191,2025,QS_2025,191.0,47.1,50.7,35.7
U00192,2025,QS_2025,192.0,46.9,31.8,16.9
U00192,2024,THE_2024,185.0,59.6,,
U00192,2023,WUR_2023,275.5,,,
U00193,2025,QS_2025,193.0,46.8,40.8,56.7
U00194,2025,QS_2025,194.0,46.7,35.4,18.3
U00194,2024,THE_2024,225.5,,,
U00194,2023,WUR_2023,225.5,,,
U00195,2025,QS_2025,194.0,46.7,39.2,40.5
U00195,2024,THE_2024,164.0,61.3,,
U00195,2023,WUR_2023,173.0,56.4,,
U00196,2025,QS_2025,196.0,46.6,25.2,19.0
U00196,2024,THE_2024,106.0,66.1,,
U00196,2023,WUR_2023,82.0,65.3,,
U00197,2025,QS_2025,197.0,46.4,31.3,23.9
U00197,2024,THE_2024,275.5,,,
U00197,2023,WUR_2023,275.5,,,
U00198,2025,QS_2025,198.0,46.3,61.0,64.3
U00199,2025,QS_2025,198.0,46.3,37.9,44.5
U00199,2024,THE_2024,225.5,,,
U00199,2023,WUR_2023,225.5,,,
U00200,2025,QS_2025,200.0,46.2,48.6,44.1
U00200,2024,THE_2024,182.0,59.9,,
U00201,2025,QS_2025,200.0,46.2,39.4,28.7
U00201,2024,THE_2024,450.5,,,
U00201,2023,WUR_2023,275.5,,,
U00202,2025,QS_2025,332.0,33.6,20.9,38.6
U00202,2024,THE_2024,700.5,,,
U00202,2023,WUR_2023,700.5,,,
U00203,2025,QS_2025,203.0,46.0,48.4,25.9
U00203,2024,THE_2024,168.0,60.8,,
U00203,2023,WUR_2023,170.0,56.5,,
U00204,2025,QS_2025,203.0,46.0,56.8,33.1
U00205,2025,QS_2025,205.0,45.8,8.9,58.5
U00206,2025,QS_2025,206.0,45.7,35.4,33.6
U00206,2024,THE_2024,225.5,,,
U00207,2025,QS_2025,206.0,45.7,53.8,79.2
U00208,2025,QS_2025,208.0,45.6,58.6,50.4
U00209,2025,QS_2025,209.0,45.2,32.0,18.6
U00209,2024,THE_2024,225.5,,,
U00209,2023,WUR_2023,225.5,,,
U00210,2025,QS_2025,210.0,45.1,54.8,71.2
U00210,2024,THE_2024,450.5,,,
U00210,2023,WUR_2023,550.5,,,
U00211,2025,QS_2025,211.0,45.0,45.7,26.3
U00211,2024,THE_2024,225.5,,,
U00211,2023,WUR_2023,275.5,,,
U00212,2025,QS_2025,212.0,44.8,43.1,24.5
U00213,2025,QS_2025,213.0,44.7,39.8,33.1
U00213,2024,THE_2024,199.0,58.7,,
U00214,2025,QS_2025,214.0,44.4,45.0,24.6
U00214,2024,THE_2024,325.5,,,
U00214,2023,WUR_2023,325.5,,,
U00215,2025,QS_2025,215.0,44.2,51.5,74.0
U00215,2024,THE_2024,550.5,,,
U00216,2025,QS_2025,215.0,44.2,46.7,42.3
U00216,2024,THE_2024,132.0,63.7,,
U00216,2023,WUR_2023,151.0,57.7,,
U00217,2025,QS_2025,217.0,44.1,23.6,19.8
U00217,2024,THE_2024,275.5,,,
U00218,2025,QS_2025,218.0,44.0,48.6,29.4
U00218,2024,THE_2024,114.0,65.7,,
U00218,2023,WUR_2023,104.0,62.9,,
U00219,2025,QS_2025,219.0,43.9,32.9,62.7
U00219,2024,THE_2024,450.5,,,
U00219,2023,WUR_2023,550.5,,,
U00220,2025,QS_2025,219.0,43.9,71.0,89.9
U00221,2025,QS_2025,221.0,43.8,39.4,17.8
U00221,2024,THE_2024,125.0,64.7,,
U00221,2023,WUR_2023,121.0,60.9,,
U00222,2025,QS_2025,222.0,43.7,46.0,30.7
U00223,2025,QS_2025,222.0,43.7,34.0,51.1
U00224,2025,QS_2025,224.0,43.6,25.8,27.7
U00225,2025,QS_2025,224.0,43.6,29.7,55.3
U00225,2024,THE_2024,275.5,,,
U00225,2023,WUR_2023,375.5,,,
U00226,2025,QS_2025,224.0,43.6,28.4,18.8
U00226,2024,THE_2024,143.0,62.7,,
U00226,2023,WUR_2023,135.0,58.7,,
U00227,2025,QS_2025,227.0,43.5,42.4,63.2
U00228,2025,QS_2025,227.0,43.5,52.8,24.1
U00229,2025,QS_2025,229.0,43.4,68.2,35.9
U00229,2024,THE_2024,700.5,,,
U00230,2025,QS_2025,230.0,43.0,23.0,27.8
U00230,2024,THE_2024,138.0,62.9,,
U00230,2023,WUR_2023,145.0,58.2,,
U00231,2025,QS_2025,230.0,43.0,33.3,34.5
U00231,2024,THE_2024,225.5,,,
U00231,2023,WUR_2023,225.5,,,
U00232,2025,QS_2025,232.0,42.9,71.8,40.3
U00233,2025,QS_2025,233.0,42.7,20.7,32.0
U00233,2024,THE_2024,184.0,59.7,,
U00233,2023,WUR_2023,275.5,,,
U00234,2025,QS_2025,234.0,42.6,36.3,42.5
U00235,2025,QS_2025,235.0,42.5,19.1,11.7
U00235,2024,THE_2024,450.5,,,
