university_id,university_name,country_name,wb_country_code,wb_region,wb_income_group
U2457,University of Hyogo,Japan,JPN,East Asia & Pacific,High income: OECD
U2458,Ibaraki University,Japan,JPN,East Asia & Pacific,High income: OECD
U2462,International Hellenic University,Greece,GRC,Europe & Central Asia,High income: OECD
U2468,Iwate University,Japan,JPN,East Asia & Pacific,High income: OECD
U2476,Kanagawa University,Japan,JPN,East Asia & Pacific,High income: OECD
U2477,Kanazawa Medical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2478,Kansai University,Japan,JPN,East Asia & Pacific,High income: OECD
U2486,University of Kerbala,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2491,Kochi University,Japan,JPN,East Asia & Pacific,High income: OECD
U2492,Kochi University of Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U2493,Kogakuin University,Japan,JPN,East Asia & Pacific,High income: OECD
U2495,Kyoto Sangyo University,Japan,JPN,East Asia & Pacific,High income: OECD
U2496,Ladoke Akintola University of Technology,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2498,Lagos State University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2515,Meijo University,Japan,JPN,East Asia & Pacific,High income: OECD
U2517,Middle Technical University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2518,Ming Chuan University,Taiwan,,,
U2519,University of Miyazaki,Japan,JPN,East Asia & Pacific,High income: OECD
U2522,University of Montenegro,Montenegro,MNE,Europe & Central Asia,Upper middle income
U2525,University of Mosul,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2528,Muroran Institute of Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U2530,Nara Women’s University,Japan,JPN,East Asia & Pacific,High income: OECD
U2532,National Chiayi University,Taiwan,,,
U2533,National Chi Nan University,Taiwan,,,
U2536,National Formosa University,Taiwan,,,
U2537,National Ilan University,Taiwan,,,
U2538,National University of Kaohsiung,Taiwan,,,
U2541,National Taichung University of Science and Technology,Taiwan,,,
U2542,National United University,Taiwan,,,
U2546,Nnamdi Azikiwe University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2555,Obafemi Awolowo University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2557,Oita University,Japan,JPN,East Asia & Pacific,High income: OECD
U2563,Osaka Institute of Technology,Japan,JPN,East Asia & Pacific,High income: OECD
U2564,Osaka Medical and Pharmaceutical University,Japan,JPN,East Asia & Pacific,High income: OECD
U2570,University of the Peloponnese,Greece,GRC,Europe & Central Asia,High income: OECD
U2583,University of Port Harcourt,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2585,University of Prishtina,Kosovo,XKX,Europe & Central Asia,Lower middle income
U2592,Ryukoku University,Japan,JPN,East Asia & Pacific,High income: OECD
U2593,University of the Ryukyus,Japan,JPN,East Asia & Pacific,High income: OECD
U2596,Saga University,Japan,JPN,East Asia & Pacific,High income: OECD
U2605,Shimane University,Japan,JPN,East Asia & Pacific,High income: OECD
U2606,Shizuoka University,Japan,JPN,East Asia & Pacific,High income: OECD
U2607,University of Shizuoka,Japan,JPN,East Asia & Pacific,High income: OECD
U2629,Teikyo University,Japan,JPN,East Asia & Pacific,High income: OECD
U2633,Tokyo University of Agriculture,Japan,JPN,East Asia & Pacific,High income: OECD
U2634,Tokyo City University,Japan,JPN,East Asia & Pacific,High income: OECD
U2635,Tokyo Denki University,Japan,JPN,East Asia & Pacific,High income: OECD
U2637,Tottori University,Japan,JPN,East Asia & Pacific,High income: OECD
U2638,Toyama Prefectural University,Japan,JPN,East Asia & Pacific,High income: OECD
U2639,Toyo University,Japan,JPN,East Asia & Pacific,High income: OECD
U2644,Utsunomiya University,Japan,JPN,East Asia & Pacific,High income: OECD
U2654,University of West Attica,Greece,GRC,Europe & Central Asia,High income: OECD
U2664,Abia State University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2665,Abrar University,Somalia,SOM,Sub-Saharan Africa,Low income
U2666,Ada Kent University,Northern Cyprus,,,
U2673,Aichi Prefectural University,Japan,JPN,East Asia & Pacific,High income: OECD
U2677,Akita Prefectural University,Japan,JPN,East Asia & Pacific,High income: OECD
U2679,Akwa Ibom State University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2682,Al-Ayen University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2684,Al-Bayan University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2685,Albaydha University,Yemen,YEM,Middle East & North Africa,Lower middle income
U2686,Al-Esraa University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2687,Alex Ekwueme Federal University Ndufu-Alike,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2688,Al-Farabi University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2689,Al-Furat Al-Awsat Technical University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2693,University of Al-Hamdaniya,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2696,Al-Janad University for Science and Technology,Yemen,YEM,Middle East & North Africa,Lower middle income
U2697,University of Alkafeel,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2698,Al-Karkh University of Science,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2699,Al-Kitab University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2701,Al-Maarif University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2702,Al-Manara College for Medical Sciences,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2704,Al-Mustaqbal University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2705,Al-Muthanna University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2706,Al-Nisour University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2707,Al-Noor University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
