university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
University of Lleida,university of lleida,Spain,spain,,34.8,23.5,20.1,58.2,57.3,45.4,16.1,10.0,59.0,U1919
Lovely Professional University,lovely professional university,India,india,,34.8,21.5,12.8,73.7,17.5,43.4,14.7,7.0,25.0,U1920
Makerere University,makerere university,Uganda,uganda,,34.8,23.4,25.3,39.6,52.1,68.1,19.2,3.0,46.0,U0915
University of Malakand,university of malakand,Pakistan,pakistan,,34.8,16.8,14.0,74.1,26.7,49.2,32.1,1.0,26.0,U1921
University of Malta,university of malta,Malta,malta,,34.8,23.4,16.2,60.6,20.5,53.8,12.3,14.0,59.0,U0762
University of Management and Technology,university of management and technology,Pakistan,pakistan,,34.8,13.8,10.4,80.4,19.1,51.3,22.4,2.0,50.0,U1922
Mansoura University,mansoura university,Egypt,egypt,,34.8,19.5,12.4,68.1,31.8,74.1,40.2,4.0,50.0,U0969
Marquette University,marquette university,United States,united states,,34.8,36.9,18.2,54.0,49.3,33.1,12.2,3.0,58.0,U1262
Medical University of Lodz,medical university of lodz,Poland,poland,,34.8,27.4,11.0,67.6,39.7,32.3,8.4,9.0,70.0,U1923
University of Medicine and Pharmacy Carol Davila,university of medicine and pharmacy carol davila,Romania,romania,,34.8,26.3,11.0,62.6,24.6,38.8,8.6,16.0,68.0,U1924
University of Memphis,university of memphis,United States,united states,,34.8,27.5,19.0,55.0,63.0,35.0,14.9,5.0,62.0,U1371
University of Mohaghegh Ardabili,university of mohaghegh ardabili,Iran,iran,,34.8,19.3,17.3,71.5,19.7,32.9,29.7,0.0,55.0,U1925
Montana State University,montana state university,United States,united states,,34.8,24.0,20.4,56.3,63.0,38.0,16.3,2.0,49.0,U1926
University of Murcia,university of murcia,Spain,spain,,34.8,25.2,19.9,52.6,61.4,38.9,17.7,5.0,62.0,U0943
Nanjing University of Information Science and Technology,nanjing university of information science and technology,China,china,,34.8,18.0,18.3,68.6,42.0,42.4,16.8,4.0,53.0,U1927
Nanjing Medical University,nanjing medical university,China,china,,34.8,36.3,16.5,58.1,41.2,25.8,9.3,4.0,53.0,U1928
Nanjing Normal University,nanjing normal university,China,china,,34.8,25.1,15.1,66.5,50.7,29.8,13.5,2.0,69.0,U1066
National Autonomous University of Mexico,national autonomous university of mexico,Mexico,mexico,,34.8,29.9,30.4,34.4,62.5,58.4,17.1,4.0,52.0,U1929
National Taipei University of Technology,national taipei university of technology,Taiwan,taiwan,,34.8,27.3,25.0,35.8,94.1,41.6,15.6,10.0,28.0,U0425
"National Institute of Technology, Tiruchirappalli","national institute of technology, tiruchirappalli",India,india,,34.8,33.8,17.1,60.2,27.1,21.2,20.4,2.0,24.0,U1930
The New School,the new school,United States,united states,,34.8,29.8,15.5,45.8,27.2,61.1,9.3,34.0,73.0,U0787
New Mexico State University (Main campus),new mexico state university (main campus),United States,united states,,34.8,25.8,22.1,49.8,62.9,45.6,16.0,6.0,58.0,U1931
North China Electric Power University,north china electric power university,China,china,,34.8,22.0,23.1,51.4,60.1,22.4,18.6,3.0,38.0,U1932
