University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,QS_Normalized_Rank,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,THE_Year,THE_Normalized_Rank,THE_Female_Percentage,THE_Male_Percentage
Université Grenoble Alpes,France,334.0,33.5,44.7,14.3,7.9,41.7,20.2,35.1,94.9,20.7,21.5,44.03361344537815,365.0,50.63,41.7,37.7,64.5,69.7,70.1,51333.0,18.5,17.0,53 : 47,2025,82.5920612147298,53,47
Université Laval,Canada,423.0,28.1,19.2,8.1,26.0,23.8,55.8,41.6,80.2,36.4,78.4,29.075630252100844,293.0,54.01599999999999,40.5,38.9,70.8,96.0,76.1,30211.0,17.8,17.0,59 : 41,2025,86.03538976566236,59,41
Universite libre de Bruxelles,Belgium,230.0,43.0,33.3,34.5,3.0,49.9,98.7,84.4,87.5,65.5,25.2,61.51260504201681,211.0,58.14,36.3,45.5,82.9,68.6,88.3,32121.0,55.5,29.0,56 : 44,2025,89.95695839311334,56,44
Université Paris Cité,France,302.0,35.9,27.8,6.2,9.2,87.0,12.0,35.2,99.2,15.2,18.4,49.411764705882355,184.0,59.5735,44.7,37.8,90.7,67.0,73.8,61998.0,17.1,20.0,66 : 34,2025,91.24820659971306,66,34
Université Paris Saclay,France,73.0,67.0,60.7,99.1,99.8,35.0,35.7,58.6,98.6,70.8,72.6,87.89915966386555,64.0,73.4815,68.4,66.9,81.5,91.0,77.5,32679.0,15.0,24.0,51 : 49,2025,96.987087517934,51,49
Universiti Brunei Darussalam,Brunei,385.0,30.4,20.2,8.8,92.9,9.9,100.0,46.5,35.4,56.5,12.7,35.46218487394958,538.0,44.6955,28.1,30.4,70.4,26.0,72.4,3473.0,11.3,10.0,65 : 35,2025,74.31850789096126,65,35
Universiti Kebangsaan Malaysia,Malaysia,138.0,53.8,61.7,66.4,80.4,14.1,45.7,78.8,83.7,22.5,64.4,76.9747899159664,425.0,48.53,45.5,28.9,62.2,49.6,81.1,19655.0,10.4,26.0,55 : 45,2025,79.72262075561932,55,45
Universiti Putra Malaysia,Malaysia,148.0,52.3,61.0,61.9,58.8,25.7,36.1,92.0,80.5,17.5,53.5,75.29411764705883,627.0,42.41649999999999,36.1,28.8,51.5,51.0,79.0,23581.0,12.4,30.0,64 : 36,2025,70.0621712099474,64,36
Universiti Sains Malaysia,Malaysia,146.0,52.7,63.3,69.7,46.4,19.6,24.3,96.4,87.8,20.1,71.2,75.63025210084034,450.0,47.668,42.2,28.5,63.5,56.6,75.2,25623.0,12.3,34.0,63 : 37,2025,78.5270205643233,63,37
Universiti Teknologi Brunei,Brunei,562.0,22.2,15.4,6.3,88.5,9.9,100.0,5.8,15.9,14.7,1.4,5.714285714285714,845.0,37.384,28.5,13.4,62.0,25.2,73.1,1305.0,6.2,7.0,59 : 41,2025,59.636537541846,59,41
Universiti Teknologi Malaysia,Malaysia,181.0,48.5,48.6,59.6,46.0,40.5,14.1,86.9,82.9,18.0,52.1,69.74789915966386,423.0,48.57299999999999,41.1,29.9,65.1,69.5,72.9,18192.0,11.1,31.0,46 : 54,2025,79.81826877092301,46,54
Universiti Teknologi PETRONAS,Malaysia,269.0,38.6,19.5,28.1,38.5,79.0,83.9,20.1,63.9,4.1,18.4,54.957983193277315,248.0,55.913,36.8,39.1,82.2,80.2,78.0,4389.0,13.4,12.0,37 : 63,2025,88.18747010999522,37,63
Universiti Utara Malaysia,Malaysia,554.0,22.4,22.0,25.4,38.8,8.2,19.4,79.3,34.1,12.3,5.3,7.0588235294117645,471.0,46.8515,38.4,28.6,66.9,27.3,80.9,11690.0,11.4,32.0,66 : 34,2025,77.52271640363463,66,34
University College Cork,Ireland,273.0,38.3,30.1,35.1,22.1,28.5,89.0,52.1,69.1,34.0,91.0,54.285714285714285,392.0,49.52,27.1,32.3,77.3,74.4,79.9,19307.0,21.0,20.0,59 : 41,2025,81.30081300813008,59,41
University College Dublin,Ireland,126.0,55.0,51.4,43.5,16.6,46.4,99.1,74.8,87.2,89.8,95.6,78.99159663865547,230.0,57.1095,32.7,41.2,85.9,76.0,89.4,24470.0,21.2,30.0,,2025,89.04830224772836,,
University of Aberdeen,United Kingdom,236.0,42.3,30.5,28.8,32.7,32.0,94.5,92.6,88.5,22.2,96.5,60.50420168067227,250.0,55.745,34.8,36.0,81.9,79.1,97.4,13455.0,15.5,40.0,57 : 43,2025,88.09182209469154,57,43
University of Alberta,Canada,96.0,61.2,57.0,42.2,39.1,61.3,98.3,71.0,96.0,70.0,97.6,84.03361344537815,116.0,65.232,48.2,56.7,79.3,100.0,90.4,34169.0,23.9,27.0,,2025,94.50023912003826,,
University of Amsterdam,Netherlands,55.0,73.7,83.8,52.1,21.4,92.2,96.0,87.5,96.3,79.8,38.2,90.92436974789916,59.0,73.80249999999998,54.5,63.8,97.1,77.2,93.4,29759.0,12.8,39.0,60 : 40,2025,97.22620755619322,60,40
