university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025
U0162,hanyang university,South Korea,,,,,,,,,
U0163,al-farabi kazakh national university,Kazakhstan,,,,,,,,,
U0164,complutense university of madrid,Spain,,,,,,,,,
U0165,universitat de barcelona,Spain,,,,,,,,,
U0166,university of liverpool,United Kingdom,,,,,,,,,
U0167,kyushu university,Japan,,,,,,,,,
U0168,university of wollongong,Australia,,,,,,,,,
U0169,ghent university,Belgium,,,,,,,,,
U0170,the university of exeter,United Kingdom,,,,,,,,,
U0171,university of cape town,South Africa,,,,,,,,,
U0172,university of reading,United Kingdom,,,,,,,,,
U0173,hokkaido university,Japan,,,,,,,,,
U0174,curtin university,Australia,,,,,,,,,
U0175,universitat autònoma de barcelona,Spain,,,,,,,,,
U0176,mcmaster university,Canada,,,,,,,,,
U0177,washington university in st. louis,United States,,,,,,,,,
U0178,"university of california, santa barbara (ucsb)",United States,,,,,,,,,
U0179,"the university of newcastle, australia (uon)",Australia,,,,,,,,,
U0180,universidad de los andes,Colombia,,,,,,,,,
U0181,universiti teknologi malaysia,Malaysia,,,,,,,,,
U0182,waseda university,Japan,,,,,,,,,
U0183,hamad bin khalifa university,Qatar,,,,,,,,,
U0184,university of york,United Kingdom,,,,,,,,,
U0185,tecnológico de monterrey,Mexico,,,,,,,,,
U0186,cardiff university,United Kingdom,,,,,,,,,
U0187,école normale supérieure de lyon,France,,,,,,,,,
U0188,keio university,Japan,,,,,,,,,
U0189,university of ottawa,Canada,,,,,,,,,
U0190,technische universität wien,Austria,,,,,,,,,
U0191,universität hamburg,Germany,,,,,,,,,
U0192,tongji university,China (Mainland),,,,,,,,,
U0193,queen's university at kingston,Canada,,,,,,,,,
U0194,university of gothenburg,Sweden,,,,,,,,,
U0195,wuhan university,China (Mainland),,,,,,,,,
U0196,emory university,United States,,,,,,,,,
U0197,deakin university,Australia,,,,,,,,,
U0198,universidad autónoma de madrid,Spain,,,,,,,,,
U0199,university of calgary,Canada,,,,,,,,,
U0200,arizona state university,United States,,,,,,,,,
U0201,king saud university,Saudi Arabia,,,,,,,,,
U0202,american university of sharjah,United Arab Emirates,,,,,,,,,
U0203,université catholique de louvain (uclouvain),Belgium,,,,,,,,,
U0204,university of minnesota twin cities,United States,,,,,,,,,
U0205,ecole des ponts paristech,France,,,,,,,,,
U0206,queen's university belfast,United Kingdom,,,,,,,,,
U0207,universitas indonesia,Indonesia,,,,,,,,,
U0208,the ohio state university,United States,,,,,,,,,
U0209,tel aviv university,Israel,,,,,,,,,
