university_id,university_name,country_code,country_name,country_name_canonical,wb_country_code,wb_region,wb_income_group
U0299,swansea university,GB,United Kingdom,united kingdom,GBR,Europe & Central Asia,High income: OECD
U0300,huazhong university of science and technology,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0301,georgetown university,US,United States,united states,USA,North America,High income: OECD
U0302,beijing institute of technology,CN,China (Mainland),china,CHN,East Asia & Pacific,Upper middle income
U0303,université paris cité,FR,France,france,FRA,Europe & Central Asia,High income: OECD
U0304,linköping university,SE,Sweden,sweden,SWE,Europe & Central Asia,High income: OECD
U0305,universidade federal do rio de janeiro,BR,Brazil,brazil,BRA,Latin America & Caribbean,Upper middle income
U0306,aalborg university,DK,Denmark,denmark,DNK,Europe & Central Asia,High income: OECD
U0307,"university of california, irvine",US,United States,united states,USA,North America,High income: OECD
U0308,airlangga university,ID,Indonesia,indonesia,IDN,East Asia & Pacific,Lower middle income
U0309,goethe-university frankfurt am main,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0310,universität innsbruck,AT,Austria,austria,AUT,Europe & Central Asia,High income: OECD
U0311,north carolina state university,US,United States,united states,USA,North America,High income: OECD
U0312,jagiellonian university,PL,Poland,poland,POL,Europe & Central Asia,High income: OECD
U0313,university of johannesburg,ZA,South Africa,south africa,ZAF,Sub-Saharan Africa,Upper middle income
U0314,universität stuttgart,DE,Germany,germany,DEU,Europe & Central Asia,High income: OECD
U0315,quaid-i-azam university,PK,Pakistan,pakistan,PAK,South Asia,Lower middle income
U0316,rudn university,RU,Russia,russia,RUS,Europe & Central Asia,High income: nonOECD
