university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025,normalized_university_name,normalized_openalex_name,name_similarity,country_match,publication_match_status
U2072,Riphah International University,Pakistan,,,,,,,,,,riphah international university,,0.0,False,Unmatched
U2073,Rowan University,United States,,,,,,,,,,rowan university,,0.0,False,Unmatched
U2074,Sahand University of Technology,Iran,,,,,,,,,,sahand university of technology,,0.0,False,Unmatched
U2075,Universidad San Francisco de Quito,Ecuador,,,,,,,,,,universidad san francisco de quito,,0.0,False,Unmatched
U2076,University of Sargodha,Pakistan,,,,,,,,,,university of sargodha,,0.0,False,Unmatched
U2077,Semnan University,Iran,,,,,,,,,,semnan university,,0.0,False,Unmatched
U2078,University of Sfax,Tunisia,,,,,,,,,,university of sfax,,0.0,False,Unmatched
U2079,​Shahid Chamran University of Ahvaz,Iran,,,,,,,,,,shahid chamran university of ahvaz,,0.0,False,Unmatched
U2080,Shahrekord University,Iran,,,,,,,,,,shahrekord university,,0.0,False,Unmatched
U2081,Shahrood University of Technology,Iran,,,,,,,,,,shahrood university of technology,,0.0,False,Unmatched
U2082,Shanghai Maritime University,China,,,,,,,,,,shanghai maritime university,,0.0,False,Unmatched
U2083,Siberian Federal University,Russian Federation,,,,,,,,,,siberian federal university,,0.0,False,Unmatched
U2084,Sidi Mohamed Ben Abdellah University,Morocco,,,,,,,,,,sidi mohamed ben abdellah university,,0.0,False,Unmatched
U2085,University of Social Welfare and Rehabilitation Sciences,Iran,,,,,,,,,,university of social welfare and rehabilitation sciences,,0.0,False,Unmatched
U2086,University of South Bohemia in České Budějovice,Czech Republic,,,,,,,,,,university of south bohemia in ceske budejovice,,0.0,False,Unmatched
U2087,University of South Dakota,United States,,,,,,,,,,university of south dakota,,0.0,False,Unmatched
U2088,University of the South Pacific,Fiji,,,,,,,,,,university of the south pacific,,0.0,False,Unmatched
U2089,University of South Wales,United Kingdom,,,,,,,,,,university of south wales,,0.0,False,Unmatched
U2090,Staffordshire University,United Kingdom,,,,,,,,,,staffordshire university,,0.0,False,Unmatched
U2091,Suez University,Egypt,,,,,,,,,,suez university,,0.0,False,Unmatched
U2092,SWPS University,Poland,,,,,,,,,,swps university,,0.0,False,Unmatched
