university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024
Chonnam National University,chonnam national university,South Korea,south korea,,34.8,28.5,28.3,43.6,57.5,32.8,17.7,7.0,49.0
Chungnam National University,chungnam national university,South Korea,south korea,,34.8,29.9,29.7,34.9,71.7,26.0,19.8,4.0,47.0
Clarkson University,clarkson university,United States,united states,,34.8,29.9,18.0,41.2,67.4,63.3,15.5,8.0,34.0
University of Clermont Auvergne,university of clermont auvergne,France,france,,34.8,21.8,18.1,54.2,61.6,68.3,21.2,15.0,57.0
University of la Costa,university of la costa,Colombia,colombia,,34.8,13.2,10.7,74.2,16.3,54.9,18.1,1.0,42.0
Covenant University,covenant university,Nigeria,nigeria,,34.8,24.7,24.4,56.6,24.2,54.3,17.5,0.0,37.0
CY Cergy Paris University,cy cergy paris university,France,france,,34.8,23.8,25.3,44.4,56.6,92.7,19.5,26.0,52.0
Czech University of Life Sciences Prague (CZU),czech university of life sciences prague (czu),Czech Republic,czech republic,,34.8,20.1,15.4,50.8,50.2,76.4,18.3,26.0,50.0
Damietta University,damietta university,Egypt,egypt,,34.8,16.4,9.4,73.0,17.4,46.1,33.9,1.0,63.0
University of Delhi,university of delhi,India,india,,34.8,40.4,24.2,39.0,40.5,23.3,23.8,1.0,48.0
Delhi Technological University,delhi technological university,India,india,,34.8,16.9,20.1,76.7,28.5,19.7,23.4,3.0,22.0
University of Deusto,university of deusto,Spain,spain,,34.8,22.5,23.2,54.3,36.6,42.3,18.8,6.0,57.0
University of Dhaka,university of dhaka,Bangladesh,bangladesh,,34.8,17.5,10.0,68.8,18.1,48.5,15.3,3.0,50.0
Eötvös Loránd University,eötvös loránd university,Hungary,hungary,,34.8,28.6,19.2,57.3,33.4,51.3,17.8,11.0,61.0
Federal University of Minas Gerais,federal university of minas gerais,Brazil,brazil,,34.8,40.2,23.3,43.3,50.8,33.4,13.5,1.0,53.0
Universidade Federal de Santa Catarina,universidade federal de santa catarina,Brazil,brazil,,34.8,32.5,21.6,41.6,64.2,35.3,17.7,2.0,49.0
Universidade Federal de São Paulo (UNIFESP),universidade federal de são paulo (unifesp),Brazil,brazil,,34.8,33.2,22.5,48.2,47.2,35.2,11.3,1.0,59.0
Ferdowsi University of Mashhad,ferdowsi university of mashhad,Iran,iran,,34.8,28.6,26.8,48.2,45.4,38.6,30.5,11.0,54.0
Florida Atlantic University,florida atlantic university,United States,united states,,34.8,22.5,21.9,57.3,57.6,51.8,19.8,6.0,63.0
Florida Institute of Technology,florida institute of technology,United States,united states,,34.8,29.0,16.4,45.2,54.8,80.4,15.9,20.0,42.0
University of the Free State,university of the free state,South Africa,south africa,,34.8,22.4,18.7,56.4,26.9,51.7,35.6,2.0,63.0
Fuzhou University,fuzhou university,China,china,,34.8,18.9,16.5,71.5,53.2,36.7,17.4,1.0,39.0
University of Girona,university of girona,Spain,spain,,34.8,20.8,22.4,56.3,55.0,56.8,21.0,14.0,58.0
University of Gloucestershire,university of gloucestershire,United Kingdom,united kingdom,,34.8,17.4,14.0,57.6,34.5,65.7,17.0,12.0,59.0
Gorgan University of Agricultural Sciences and Natural Resources,gorgan university of agricultural sciences and natural resources,Iran,iran,,34.8,15.8,11.3,78.0,34.2,35.7,21.5,1.0,50.0
Guangzhou University,guangzhou university,China,china,,34.8,19.4,12.7,77.1,22.4,35.9,17.5,0.0,60.0
Guangzhou Medical University,guangzhou medical university,China,china,,34.8,24.2,10.2,72.5,26.6,28.5,1.7,2.0,58.0
Guilan University of Medical Sciences,guilan university of medical sciences,Iran,iran,,34.8,38.2,10.4,63.7,16.6,21.9,11.5,1.0,53.0
Harbin Engineering University,harbin engineering university,China,china,,34.8,28.1,30.6,43.6,64.9,24.4,19.8,2.0,22.0
Hazara University Mansehra,hazara university mansehra,Pakistan,pakistan,,34.8,27.1,10.7,70.9,16.7,49.0,21.3,0.0,54.0
Howard University,howard university,United States,united states,,34.8,48.0,18.8,41.6,39.8,39.3,9.7,5.0,71.0
