country,institute_type,direct_expenditure_type,year,expenditure_pct_gdp
Australia,All Institutions ,Public,2010,4.6
Austria,All Institutions ,Public,2010,5.6
Belgium,All Institutions ,Public,2010,6.4
Canada,All Institutions ,Public,2010,5.2
Chile,All Institutions ,Public,2010,4.3
Czech Republic,All Institutions ,Public,2010,4.1
Denmark,All Institutions ,Public,2010,7.6
Estonia,All Institutions ,Public,2010,5.6
Finland,All Institutions ,Public,2010,6.4
France,All Institutions ,Public,2010,5.8
Hungary,All Institutions ,Public,2010,4.6
Iceland,All Institutions ,Public,2010,7.0
Ireland,All Institutions ,Public,2010,6.0
Israel,All Institutions ,Public,2010,5.9
Italy,All Institutions ,Public,2010,4.3
Japan,All Institutions ,Public,2010,3.6
"Korea, Republic of",All Institutions ,Public,2010,4.8
Mexico,All Institutions ,Public,2010,5.1
Netherlands,All Institutions ,Public,2010,5.4
New Zealand,All Institutions ,Public,2010,6.0
Norway,All Institutions ,Public,2010,7.5
Poland,All Institutions ,Public,2010,5.0
Portugal,All Institutions ,Public,2010,5.4
Slovak Republic,All Institutions ,Public,2010,4.0
Slovenia,All Institutions ,Public,2010,5.2
Spain,All Institutions ,Public,2010,4.8
Sweden,All Institutions ,Public,2010,6.3
Switzerland,All Institutions ,Public,2010,5.2
United Kingdom,All Institutions ,Public,2010,5.9
United States,All Institutions ,Public,2010,5.1
Brazil,All Institutions ,Public,2010,5.6
Russia,All Institutions ,Public,2010,4.1
OECD Average,Elementary and Secondary Institutions ,Public,2010,3.7
Australia,Elementary and Secondary Institutions ,Public,2010,3.7
Austria,Elementary and Secondary Institutions ,Public,2010,3.5
Belgium,Elementary and Secondary Institutions ,Public,2010,4.3
Canada,Elementary and Secondary Institutions ,Public,2010,3.6
Chile,Elementary and Secondary Institutions ,Public,2010,2.9
Czech Republic,Elementary and Secondary Institutions ,Public,2010,2.6
Denmark,Elementary and Secondary Institutions ,Public,2010,4.7
Estonia,Elementary and Secondary Institutions ,Public,2010,3.9
Finland,Elementary and Secondary Institutions ,Public,2010,4.1
France,Elementary and Secondary Institutions ,Public,2010,3.8
Hungary,Elementary and Secondary Institutions ,Public,2010,2.8
Iceland,Elementary and Secondary Institutions ,Public,2010,4.7
Ireland,Elementary and Secondary Institutions ,Public,2010,4.6
Israel,Elementary and Secondary Institutions ,Public,2010,4.0
Italy,Elementary and Secondary Institutions ,Public,2010,3.1
Japan,Elementary and Secondary Institutions ,Public,2010,2.8
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2010,3.4
Luxembourg,Elementary and Secondary Institutions ,Public,2010,3.4
Mexico,Elementary and Secondary Institutions ,Public,2010,3.4
Netherlands,Elementary and Secondary Institutions ,Public,2010,3.7
New Zealand,Elementary and Secondary Institutions ,Public,2010,4.4
Norway,Elementary and Secondary Institutions ,Public,2010,5.1
Poland,Elementary and Secondary Institutions ,Public,2010,3.4
Portugal,Elementary and Secondary Institutions ,Public,2010,3.9
Slovak Republic,Elementary and Secondary Institutions ,Public,2010,2.8
Slovenia,Elementary and Secondary Institutions ,Public,2010,3.6
Spain,Elementary and Secondary Institutions ,Public,2010,3.0
Sweden,Elementary and Secondary Institutions ,Public,2010,4.0
Switzerland,Elementary and Secondary Institutions ,Public,2010,3.6
Turkey,Elementary and Secondary Institutions ,Public,2010,2.5
United Kingdom,Elementary and Secondary Institutions ,Public,2010,4.8
United States,Elementary and Secondary Institutions ,Public,2010,3.7
Brazil,Elementary and Secondary Institutions ,Public,2010,4.3
Russia,Elementary and Secondary Institutions ,Public,2010,2.0
OECD Average,Higher Education Institutions ,Public,2010,1.1
Australia,Higher Education Institutions ,Public,2010,0.8
Austria,Higher Education Institutions ,Public,2010,1.5
Belgium,Higher Education Institutions ,Public,2010,1.4
Canada,Higher Education Institutions ,Public,2010,1.6
Chile,Higher Education Institutions ,Public,2010,0.8
Czech Republic,Higher Education Institutions ,Public,2010,1.0
Denmark,Higher Education Institutions ,Public,2010,1.8
Estonia,Higher Education Institutions ,Public,2010,1.3
Finland,Higher Education Institutions ,Public,2010,1.9
France,Higher Education Institutions ,Public,2010,1.3
Hungary,Higher Education Institutions ,Public,2010,0.8
Iceland,Higher Education Institutions ,Public,2010,1.1
Ireland,Higher Education Institutions ,Public,2010,1.3
Israel,Higher Education Institutions ,Public,2010,1.0
Italy,Higher Education Institutions ,Public,2010,0.8
Japan,Higher Education Institutions ,Public,2010,0.5
