University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
riga technical university,Riga Technical University,Latvia,LV,751-760,-,11.4,28.2,19.7,2.9,16.4,59.9,Riga Technical University,Latvia,1001.0,28.3–32.6,26.4,23.9,32.0,46.4,57.0,"10,830",31.7,22%,34 : 66,2024
universit du qu bec,Université du Québec,Canada,CA,751-760,-,17.3,11.8,1.6,16.3,37.1,11.6,Université du Québec,Canada,401.0,45.4–49.0,33.7,33.8,57.2,71.5,74.3,"51,748",18.4,11%,58:42:00,2024
university of ulsan,University of Ulsan ,South Korea,KR,751-760,-,6.9,2.5,57.8,34.3,2.5,3.4,University of Ulsan,South Korea,501.0,41.9–45.3,29.4,26.6,69.0,86.6,25.2,"12,223",10.8,4%,48:52:00,2024
university of zagreb,University of Zagreb,Croatia,HR,751-760,-,16.2,4.7,23.8,4.2,1.5,2.7,University of Zagreb,Croatia,1001.0,28.3–32.6,26.0,15.9,44.7,59.7,31.2,"58,474",14.8,3%,60:40:00,2024
wayne state university,Wayne State University,United States,US,751-760,-,7.8,3.2,64.7,12.3,12.5,4.8,Wayne State University,United States,501.0,41.9–45.3,36.4,20.4,70.2,79.3,41.8,"22,523",13.0,5%,61:39:00,2024
hacettepe university,Hacettepe University ,Turkey,TR,761-770,-,20.4,22.7,10.1,6.0,3.2,3.4,Hacettepe University,Turkey,601.0,37.0–41.8,32.5,26.8,50.4,73.5,27.5,"37,249",19.9,3%,58:42:00,2024
king khalid university,King Khalid University,Saudi Arabia,SA,761-770,-,12.8,5.1,43.0,2.2,100.0,10.2,King Khalid University,Saudi Arabia,501.0,41.9–45.3,29.8,20.1,70.3,48.6,91.0,"32,078",8.3,16%,61:39:00,2024
universiti tenaga nasional,Universiti Tenaga Nasional (UNITEN),Malaysia,MY,761-770,-,7.3,13.8,49.1,14.6,5.7,50.2,Universiti Tenaga Nasional (UNITEN),Malaysia,601.0,37.0–41.8,25.1,16.8,58.0,70.8,60.8,"4,300",9.0,19%,32 : 68,2024
virginia commonwealth university,Virginia Commonwealth University,United States,US,761-770,-,6.7,16.5,43.1,13.7,15.9,3.2,Virginia Commonwealth University,United States,401.0,45.4–49.0,36.4,23.2,82.8,72.7,36.5,"25,944",10.6,3%,63:37:00,2024
sechenov university,Sechenov University,Russia,RU,771-780,-,5.8,4.4,59.7,3.4,9.6,66.0,Sechenov University,Russian Federation,801.0,32.7–36.9,32.6,17.1,47.7,39.4,62.1,"15,885",8.1,26%,69:31:00,2024
